법정동코드,COL_ADM_SE,법정동명,X,Y
11110155,11110,관수동,126.9904634,37.5690598
11110180,11110,교북동,126.9612769,37.57178
11140102,11140,다동,126.9811744,37.5678897
11110154,11110,장사동,126.9940271,37.5692164
11560106,11560,영등포동5가,126.9066805,37.5210747
11110156,11110,종로3가,126.9923534,37.570408
11290110,11290,동소문동7가,127.0141927,37.5963275
11200103,11200,홍익동,127.0322123,37.5663549
11680111,11680,세곡동,127.1067674,37.4644388
11560109,11560,영등포동8가,126.9053409,37.5283544
11290114,11290,삼선동4가,127.013728,37.5903497
11290116,11290,동선동1가,127.0182203,37.5923064
11290117,11290,동선동2가,127.0200489,37.5901591
11560111,11560,당산동1가,126.8985532,37.5216546
11290115,11290,삼선동5가,127.0158581,37.5885294
11290118,11290,동선동3가,127.0206036,37.5944887
11290121,11290,안암동1가,127.0213629,37.5883859
11290120,11290,동선동5가,127.0168478,37.5959261
11560112,11560,당산동2가,126.8937448,37.5224566
11290119,11290,동선동4가,127.0186349,37.5952202
11290124,11290,안암동4가,127.0246562,37.5807003
11290131,11290,보문동2가,127.0182158,37.5857468
11290132,11290,보문동3가,127.0163608,37.5838842
11290127,11290,보문동5가,127.0200715,37.5823833
11290133,11290,정릉동,126.9954919,37.6185784
11680113,11680,율현동,127.1158242,37.4709765
11290122,11290,안암동2가,127.0221685,37.5865275
11380106,11380,대조동,126.9208285,37.614189
11290134,11290,길음동,127.023353,37.6076575
11290123,11290,안암동3가,127.0233173,37.5835275
11740110,11740,강일동,127.1739267,37.5649447
11110158,11110,예지동,126.9983007,37.5696131
11110161,11110,종로4가,126.9979532,37.5706717
11110162,11110,효제동,127.0030607,37.5725908
11410115,11410,봉원동,126.9469679,37.5725903
11110157,11110,인의동,126.9976756,37.5723289
11680105,11680,삼성동,127.0628381,37.5143143
11680106,11680,대치동,127.0567009,37.4932349
11680108,11680,논현동,127.0301576,37.5126448
11680112,11680,자곡동,127.0921899,37.4733833
11740102,11740,고덕동,127.1559376,37.5641597
11110176,11110,교남동,126.9646408,37.5683766
11140119,11140,봉래동1가,126.9729242,37.5595017
11680115,11680,수서동,127.1050064,37.4888802
11110178,11110,송월동,126.9651949,37.5700574
11410114,11410,신촌동,126.9392849,37.5651601
11110172,11110,명륜4가,127.0000791,37.5822247
11110177,11110,평동,126.9668436,37.5678913
11380103,11380,불광동,126.937067,37.6176521
11110163,11110,종로5가,127.0035371,37.5706149
11440109,11440,염리동,126.9456636,37.5470614
11140141,11140,주자동,126.9893886,37.5606349
11140142,11140,예장동,126.9900844,37.5552076
11140133,11140,충무로5가,126.9998363,37.5631297
11140123,11140,회현동3가,126.9840642,37.5601477
11680114,11680,일원동,127.0804355,37.4795638
11140140,11140,남학동,126.9908159,37.560548
11410107,11410,옥천동,126.958908,37.5695516
11140131,11140,저동1가,126.9877983,37.5644056
11110101,11110,청운동,126.9693346,37.5891955
11140137,11140,필동1가,126.9924614,37.5610756
11560118,11560,도림동,126.8959504,37.5094302
11140150,11140,을지로4가,126.9987613,37.5664904
11110120,11110,신문로1가,126.9739098,37.5701695
11560119,11560,문래동1가,126.896983,37.5122782
11560120,11560,문래동2가,126.8930626,37.5127371
11140156,11140,입정동,126.9927329,37.5678087
11110174,11110,창신동,127.0128294,37.5752228
11110168,11110,동숭동,127.0048796,37.5813732
11140169,11140,의주로1가,126.9680637,37.5647844
11110103,11110,궁정동,126.9731445,37.5846785
11440101,11440,아현동,126.9559035,37.5544778
11440120,11440,서교동,126.9145963,37.5551054
11410104,11410,미근동,126.967258,37.5632907
11140164,11140,무학동,127.0152708,37.5643497
11410103,11410,합동,126.9660373,37.561523
11140157,11140,산림동,126.9955074,37.5677242
11305101,11305,미아동,127.027064,37.6270784
11140107,11140,삼각동,126.9842281,37.5680782
11140158,11140,충무로3가,126.991308,37.5626696
11410119,11410,북가좌동,126.9104023,37.5780791
11140163,11140,흥인동,127.016364,37.5672871
11410120,11410,남가좌동,126.9195526,37.5755412
11410110,11410,북아현동,126.9569078,37.5595595
11410112,11410,대현동,126.9472136,37.5607619
11140103,11140,태평로1가,126.9772376,37.5677025
11140170,11140,충정로1가,126.9682776,37.5665073
11140171,11140,중림동,126.9661944,37.5591636
11140172,11140,의주로2가,126.9695753,37.5610493
11560124,11560,문래동6가,126.8868204,37.5194812
11560115,11560,당산동5가,126.9012056,37.5320953
11560117,11560,당산동,126.9021721,37.5402586
11560114,11560,당산동4가,126.899078,37.529057
11560116,11560,당산동6가,126.9047448,37.5337951
11560123,11560,문래동5가,126.8844246,37.516278
11140108,11140,수하동,126.9846241,37.5672617
11140109,11140,장교동,126.9868656,37.5672449
11140110,11140,수표동,126.9895003,37.5674477
11110123,11110,서린동,126.9804052,37.569505
11170102,11170,용산동2가,126.9850139,37.5428773
11110116,11110,도렴동,126.9746499,37.5731584
11110118,11110,내수동,126.9719649,37.5733062
11110112,11110,체부동,126.9708758,37.5775857
11110117,11110,당주동,126.9740038,37.5715669
11110119,11110,세종로,126.9767839,37.5801869
11260106,11260,신내동,127.0993708,37.6058744
